FID,Person Key,Crash Key,FDOT Crash Number,FLHSMV Crash Number,Crash Date,Crash Time,Crash Time Slot,Crash Day,FDOT Managing District,FDOT County Code,County,FDOT Roadway ID,FDOT Mile Post,Road System,SSO Latitude,SSO Longitude,CITY,Person Type Code,Person Type,Person Gender Code,Person Gender,Person Age,Person Injury Code,Person Injury,Person Location Code,Person Location at Crash Time,Person Action Code,Person Action Prior to Crash,Person Action/Circumstance Code,Person Action/Circumstance,Suspected Alcohol Code,Suspected Alcohol Use,Suspected Drug Code,Suspected Drug Use,x,y
11,2016-814312740-4,2016-814312740,814312740,81431274,1/30/2016 22:25,10:25 PM,8: 9P-12A,6: Fri,4,93,Palm Beach,93000000,0,Off-system,26.439194,-80.146216,West Palm Beach,1,Pedestrian,1,Male,52,5,Fatal,1,Intersection (marked crosswalk),1,Crossing roadway,1,No improper action,1,No,1,No,-8921836.253,3053580.078
12,2016-814319690-3,2016-814319690,814319690,81431969,1/19/2016 22:34,10:34 PM,8: 9P-12A,2: Mon,4,93,Palm Beach,93070000,23.918,On-system,26.6694178,-80.1123664,Boynton Beach,1,Pedestrian,2,Female,34,5,Fatal,5,Travel lane (other location),1,Crossing roadway,2,Dart/dash,2,Yes,2,Yes,-8918068.132,3082230.847
13,2016-814319700-2,2016-814319700,814319700,81431970,1/29/2016 12:39,12:39 PM,5: 12P-3P,5: Thr,4,93,Palm Beach,93000000,0,Off-system,26.615846,-80.055292,Lake Worth,1,Pedestrian,2,Female,73,4,Serious (Incapacitating),1,Intersection (marked crosswalk),1,Crossing roadway,3,Failure to yield right-of-way,1,No,1,No,-8911714.637,3075558.831
14,2016-814328650-2,2016-814328650,814328650,81432865,1/15/2016 21:18,9:18 PM,8: 9P-12A,5: Thr,4,93,Palm Beach,93016000,3.851,On-system,26.651608,-80.1413419,West Palm Beach,3,Bicyclist,1,Male,0,4,Serious (Incapacitating),77,Other,1,Crossing roadway,88,Unknown,88,Unknown,88,Unknown,-8921293.671,3080012.406
15,2016-814343760-2,2016-814343760,814343760,81434376,4/29/2016 5:08,5:08 AM,2: 3A-6A,5: Thr,4,93,Palm Beach,93280000,5.555,On-system,26.7067831,-80.1108595,Boynton Beach,1,Pedestrian,1,Male,43,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,3,Failure to yield right-of-way,2,Yes,88,Unknown,-8917900.385,3086886.305
16,2016-814345610-2,2016-814345610,814345610,81434561,1/26/2016 19:16,7:16 PM,7: 6P-9P,2: Mon,4,93,Palm Beach,93000000,0,Off-system,26.62282,-80.064859,Boynton Beach,1,Pedestrian,1,Male,14,4,Serious (Incapacitating),1,Intersection (marked crosswalk),88,Unknown,88,Unknown,1,No,1,No,-8912779.631,3076427.219
17,2016-814345610-3,2016-814345610,814345610,81434561,1/26/2016 19:16,7:16 PM,7: 6P-9P,2: Mon,4,93,Palm Beach,93000000,0,Off-system,26.62282,-80.064859,Wellington,1,Pedestrian,1,Male,51,4,Serious (Incapacitating),1,Intersection (marked crosswalk),1,Crossing roadway,88,Unknown,1,No,1,No,-8912779.631,3076427.219
18,2016-814348740-2,2016-814348740,814348740,81434874,2/22/2016 21:16,9:16 PM,8: 9P-12A,1: Sun,4,93,Palm Beach,93120000,7.034,On-system,26.6825328,-80.2780614,Lake Worth,1,Pedestrian,1,Male,0,5,Fatal,5,Travel lane (other location),1,Crossing roadway,2,Dart/dash,2,Yes,1,No,-8936513.221,3083864.711
19,2016-814354960-2,2016-814354960,814354960,81435496,3/21/2016 20:13,8:13 PM,7: 6P-9P,1: Sun,4,93,Palm Beach,93050000,0.331,On-system,26.5965722,-80.0546988,Boca Raton,1,Pedestrian,1,Male,37,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,5,"In roadway improperly (standing, lying, working, playing)",88,Unknown,88,Unknown,-8911648.602,3073159.17
20,2016-814358150-2,2016-814358150,814358150,81435815,1/23/2016 18:39,6:39 PM,7: 6P-9P,6: Fri,4,93,Palm Beach,93000000,0,Off-system,26.634947,-80.080312,Boca Raton,1,Pedestrian,2,Female,79,4,Serious (Incapacitating),3,Intersection (other),1,Crossing roadway,2,Dart/dash,1,No,1,No,-8914499.852,3077937.376
21,2016-814374030-2,2016-814374030,814374030,81437403,3/26/2016 21:45,9:45 PM,8: 9P-12A,6: Fri,4,93,Palm Beach,93000000,0,Off-system,26.600713,-80.05963,Boca Raton,1,Pedestrian,1,Male,7,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,2,Dart/dash,1,No,1,No,-8912197.541,3073674.681
22,2016-814378610-2,2016-814378610,814378610,81437861,1/25/2016 20:13,8:13 PM,7: 6P-9P,1: Sun,4,93,Palm Beach,93000000,0,Off-system,26.707588,-80.219188,West Palm Beach,3,Bicyclist,2,Female,16,5,Fatal,8,Sidewalk,1,Crossing roadway,9,"Not visible (dark clothing, no lighting, etc)",1,No,1,No,-8929959.462,3086986.607
23,2016-814386240-2,2016-814386240,814386240,81438624,8/31/2016 5:45,5:45 AM,2: 3A-6A,3: Tue,4,93,Palm Beach,93000000,0,Off-system,26.636508,-80.227405,West Palm Beach,3,Bicyclist,1,Male,51,4,Serious (Incapacitating),7,Shoulder/roadside,10,None,1,No improper action,1,No,1,No,-8930874.174,3078131.776
24,2016-814386330-2,2016-814386330,814386330,81438633,3/7/2016 17:28,5:28 PM,6: 3P-6P,1: Sun,4,93,Palm Beach,93000000,0,Off-system,26.613569,-80.061847,Boynton Beach,3,Bicyclist,88,Unknown,22,4,Serious (Incapacitating),77,Other,77,Other,88,Unknown,2,Yes,88,Unknown,-8912444.337,3075275.314
25,2016-814392310-2,2016-814392310,814392310,81439231,9/2/2016 23:53,11:53 PM,8: 9P-12A,5: Thr,4,93,Palm Beach,93280000,5.972,On-system,26.7067575,-80.1041058,West Palm Beach,1,Pedestrian,1,Male,38,5,Fatal,1,Intersection (marked crosswalk),1,Crossing roadway,88,Unknown,88,Unknown,88,Unknown,-8917148.566,3086883.115
26,2016-814392490-2,2016-814392490,814392490,81439249,2/6/2016 17:03,5:03 PM,6: 3P-6P,6: Fri,4,93,Palm Beach,93000000,0,Off-system,26.700975,-80.119538,West Palm Beach,3,Bicyclist,1,Male,0,4,Serious (Incapacitating),2,Intersection (unmarked crosswalk),3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),3,Failure to yield right-of-way,1,No,1,No,-8918866.472,3086162.556
27,2016-814394200-2,2016-814394200,814394200,81439420,2/10/2016 7:30,7:30 AM,3: 6A-9A,3: Tue,4,93,Palm Beach,93150000,0.78,On-system,26.6890133,-80.1116425,West Palm Beach,1,Pedestrian,2,Female,42,5,Fatal,5,Travel lane (other location),1,Crossing roadway,77,Other,1,No,1,No,-8917987.548,3084672.121
28,2016-814394210-2,2016-814394210,814394210,81439421,2/13/2016 13:58,1:58 PM,5: 12P-3P,6: Fri,4,93,Palm Beach,93000000,0,Off-system,26.557596,-80.06067,Boynton Beach,1,Pedestrian,1,Male,5,5,Fatal,8,Sidewalk,5,Walking/cycling on sidewalk,1,No improper action,1,No,1,No,-8912313.313,3068307.721
29,2016-814394520-2,2016-814394520,814394520,81439452,2/16/2016 13:52,1:52 PM,5: 12P-3P,2: Mon,4,93,Palm Beach,93000000,0,Off-system,26.651369,-80.224773,West Palm Beach,1,Pedestrian,2,Female,40,4,Serious (Incapacitating),1,Intersection (marked crosswalk),1,Crossing roadway,1,No improper action,1,No,1,No,-8930581.181,3079982.637
30,2016-814394720-2,2016-814394720,814394720,81439472,2/18/2016 9:03,9:03 AM,4: 9A-12P,4: Wed,4,93,Palm Beach,93030000,3.56,On-system,26.4537624,-80.1470341,Boca Raton,1,Pedestrian,2,Female,67,4,Serious (Incapacitating),1,Intersection (marked crosswalk),1,Crossing roadway,4,"Failure to obey traffic signs, signals, officer",1,No,1,No,-8921927.324,3055391.376
31,2016-814400140-2,2016-814400140,814400140,81440014,3/7/2016 19:35,7:35 PM,7: 6P-9P,1: Sun,4,93,Palm Beach,93280000,5.043,On-system,26.7069188,-80.119149,West Palm Beach,3,Bicyclist,1,Male,23,4,Serious (Incapacitating),1,Intersection (marked crosswalk),1,Crossing roadway,3,Failure to yield right-of-way,88,Unknown,88,Unknown,-8918823.168,3086903.215
32,2016-814402380-2,2016-814402380,814402380,81440238,3/13/2016 1:05,1:05 AM,1: 12A-3A,7: Sat,4,93,Palm Beach,93280000,4.242,On-system,26.7072945,-80.1321137,West Palm Beach,1,Pedestrian,2,Female,74,5,Fatal,5,Travel lane (other location),1,Crossing roadway,2,Dart/dash,2,Yes,1,No,-8920266.392,3086950.033
33,2016-814408110-2,2016-814408110,814408110,81440811,2/28/2016 21:10,9:10 PM,8: 9P-12A,7: Sat,4,93,Palm Beach,93000000,0,Off-system,26.631252,-80.128081,Boynton Beach,1,Pedestrian,1,Male,17,4,Serious (Incapacitating),3,Intersection (other),1,Crossing roadway,2,Dart/dash,88,Unknown,88,Unknown,-8919817.474,3077477.226
34,2016-814409710-2,2016-814409710,814409710,81440971,8/16/2016 20:49,8:49 PM,7: 6P-9P,2: Mon,4,93,Palm Beach,93000000,0,Off-system,26.691182,-80.085999,West Palm Beach,1,Pedestrian,1,Male,35,5,Fatal,77,Other,1,Crossing roadway,5,"In roadway improperly (standing, lying, working, playing)",2,Yes,1,No,-8915132.926,3084942.331
35,2016-814410040-2,2016-814410040,814410040,81441004,2/23/2016 15:00,3:00 PM,6: 3P-6P,2: Mon,4,93,Palm Beach,93004000,3.588,On-system,26.3686803,-80.1456837,Boca Raton,3,Bicyclist,2,Female,25,4,Serious (Incapacitating),1,Intersection (marked crosswalk),1,Crossing roadway,1,No improper action,1,No,1,No,-8921776.997,3044816.299
36,2016-814416660-2,2016-814416660,814416660,81441666,8/28/2016 21:16,9:16 PM,8: 9P-12A,7: Sat,4,93,Palm Beach,93210000,13.755,On-system,26.5275591,-80.2053272,Palm Bay,3,Bicyclist,1,Male,0,4,Serious (Incapacitating),3,Intersection (other),1,Crossing roadway,3,Failure to yield right-of-way,88,Unknown,88,Unknown,-8928416.484,3064570.09
37,2016-814419160-2,2016-814419160,814419160,81441916,3/4/2016 15:10,3:10 PM,6: 3P-6P,5: Thr,4,93,Palm Beach,93020000,3.482,On-system,26.6426309,-80.0523706,Orlando,2,"Other pedestrian (wheelchair, etc)",1,Male,87,5,Fatal,8,Sidewalk,4,Walking/cycling along roadway against traffic (in/adjacent to travel lane),1,No improper action,88,Unknown,88,Unknown,-8911389.428,3078894.323
38,2016-814424310-2,2016-814424310,814424310,81442431,11/12/2016 1:23,1:23 AM,1: 12A-3A,6: Fri,4,93,Palm Beach,93280000,0,On-system,26.706296,-80.228225,Saint Petersburg,1,Pedestrian,1,Male,61,5,Fatal,5,Travel lane (other location),1,Crossing roadway,5,"In roadway improperly (standing, lying, working, playing)",2,Yes,1,No,-8930965.457,3086825.606
39,2016-814431790-2,2016-814431790,814431790,81443179,6/21/2016 5:55,5:55 AM,2: 3A-6A,2: Mon,4,93,Palm Beach,93120300,0.298,On-system,26.6790807,-80.1455956,Tampa,3,Bicyclist,1,Male,43,4,Serious (Incapacitating),1,Intersection (marked crosswalk),1,Crossing roadway,4,"Failure to obey traffic signs, signals, officer",1,No,1,No,-8921767.191,3083434.631
40,2016-814446440-2,2016-814446440,814446440,81444644,4/30/2016 15:36,3:36 PM,6: 3P-6P,6: Fri,4,93,Palm Beach,93000000,0,Off-system,26.605315,-80.060673,Miami,3,Bicyclist,1,Male,14,4,Serious (Incapacitating),77,Other,1,Crossing roadway,2,Dart/dash,1,No,1,No,-8912313.648,3074247.631
41,2016-814452790-2,2016-814452790,814452790,81445279,10/14/2016 4:38,4:38 AM,2: 3A-6A,5: Thr,4,93,Palm Beach,93070000,22.138,On-system,26.6435923,-80.1124707,Saint Petersburg,1,Pedestrian,1,Male,54,5,Fatal,3,Intersection (other),1,Crossing roadway,77,Other,88,Unknown,88,Unknown,-8918079.743,3079014.06
42,2016-814452800-2,2016-814452800,814452800,81445280,12/31/2016 16:55,4:55 PM,6: 3P-6P,6: Fri,4,93,Palm Beach,93000000,0,Off-system,26.701029,-80.119536,Clearwater,1,Pedestrian,2,Female,48,4,Serious (Incapacitating),2,Intersection (unmarked crosswalk),1,Crossing roadway,2,Dart/dash,88,Unknown,88,Unknown,-8918866.249,3086169.285
43,2016-814456300-2,2016-814456300,814456300,81445630,4/21/2016 17:51,5:51 PM,6: 3P-6P,4: Wed,4,93,Palm Beach,93000000,0,Off-system,26.718019,-80.273186,Palm Bay,1,Pedestrian,1,Male,52,4,Serious (Incapacitating),10,Driveway access,77,Other,1,No improper action,1,No,1,No,-8935970.494,3088286.519
44,2016-814457050-2,2016-814457050,814457050,81445705,9/10/2016 20:10,8:10 PM,7: 6P-9P,6: Fri,4,93,Palm Beach,93000000,0,Off-system,26.608031,-80.141404,Panama City,3,Bicyclist,1,Male,60,5,Fatal,7,Shoulder/roadside,4,Walking/cycling along roadway against traffic (in/adjacent to travel lane),9,"Not visible (dark clothing, no lighting, etc)",2,Yes,88,Unknown,-8921300.584,3074585.785
45,2016-814457060-2,2016-814457060,814457060,81445706,11/4/2016 21:32,9:32 PM,8: 9P-12A,5: Thr,4,93,Palm Beach,93150000,1.332,On-system,26.6970237,-80.1113675,Panama City,1,Pedestrian,1,Male,13,5,Fatal,1,Intersection (marked crosswalk),1,Crossing roadway,88,Unknown,1,No,1,No,-8917956.935,3085670.204
46,2016-814462820-2,2016-814462820,814462820,81446282,4/25/2016 17:20,5:20 PM,6: 3P-6P,1: Sun,4,93,Palm Beach,93016000,5.537,On-system,26.6516179,-80.1142162,Saint Augustine,3,Bicyclist,1,Male,17,4,Serious (Incapacitating),8,Sidewalk,5,Walking/cycling on sidewalk,1,No improper action,1,No,1,No,-8918274.051,3080013.639
47,2016-814465200-2,2016-814465200,814465200,81446520,10/11/2016 21:29,9:29 PM,8: 9P-12A,2: Mon,4,93,Palm Beach,93004000,2.021,On-system,26.3678629,-80.1708845,Saint Augustine,1,Pedestrian,1,Male,56,5,Fatal,5,Travel lane (other location),1,Crossing roadway,3,Failure to yield right-of-way,2,Yes,2,Yes,-8924582.338,3044714.74
48,2016-814465950-2,2016-814465950,814465950,81446595,11/19/2016 18:25,6:25 PM,7: 6P-9P,6: Fri,4,93,Palm Beach,93180000,4.309,On-system,26.6190569,-80.1354138,Jacksonville,3,Bicyclist,1,Male,30,4,Serious (Incapacitating),6,Bicycle lane,3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),1,No improper action,1,No,1,No,-8920633.758,3075958.639
49,2016-814467870-2,2016-814467870,814467870,81446787,5/6/2016 16:23,4:23 PM,6: 3P-6P,5: Thr,4,93,Palm Beach,93000000,0,Off-system,26.645385,-80.145616,Jacksonville,3,Bicyclist,1,Male,30,4,Serious (Incapacitating),1,Intersection (marked crosswalk),1,Crossing roadway,2,Dart/dash,88,Unknown,88,Unknown,-8921769.462,3079237.332
50,2016-814482490-2,2016-814482490,814482490,81448249,9/11/2016 21:56,9:56 PM,8: 9P-12A,7: Sat,4,93,Palm Beach,93000000,0,Off-system,26.631227,-80.127221,Jacksonville,3,Bicyclist,1,Male,55,5,Fatal,5,Travel lane (other location),1,Crossing roadway,3,Failure to yield right-of-way,2,Yes,1,No,-8919721.739,3077474.113
51,2016-814483890-2,2016-814483890,814483890,81448389,5/20/2016 16:34,4:34 PM,6: 3P-6P,5: Thr,4,93,Palm Beach,93150000,0.667,On-system,26.6873737,-80.1117084,Jacksonville,1,Pedestrian,2,Female,44,4,Serious (Incapacitating),1,Intersection (marked crosswalk),1,Crossing roadway,1,No improper action,1,No,1,No,-8917994.884,3084467.838
52,2016-814492130-2,2016-814492130,814492130,81449213,11/11/2016 19:05,7:05 PM,7: 6P-9P,5: Thr,4,93,Palm Beach,93130000,12.22,On-system,26.8367429,-80.6482124,Jacksonville,1,Pedestrian,1,Male,72,5,Fatal,5,Travel lane (other location),6,"In roadway, other (working, playing, etc)",5,"In roadway improperly (standing, lying, working, playing)",2,Yes,2,Yes,-8977718.254,3103090.313
53,2016-814495250-2,2016-814495250,814495250,81449525,6/13/2016 21:58,9:58 PM,8: 9P-12A,1: Sun,4,93,Palm Beach,93016000,3.253,On-system,26.6510796,-80.1509444,Jacksonville,1,Pedestrian,1,Male,51,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,2,Dart/dash,1,No,1,No,-8922362.617,3079946.592
54,2016-814495260-2,2016-814495260,814495260,81449526,6/30/2016 8:30,8:30 AM,3: 6A-9A,4: Wed,4,93,Palm Beach,93210000,3.724,On-system,26.3820328,-80.2035538,Jacksonville,1,Pedestrian,1,Male,0,4,Serious (Incapacitating),5,Travel lane (other location),77,Other,1,No improper action,1,No,1,No,-8928219.069,3046475.4
55,2016-814496180-2,2016-814496180,814496180,81449618,9/25/2016 20:00,8:00 PM,7: 6P-9P,7: Sat,4,93,Palm Beach,93000000,0,Off-system,26.674565,-80.14509,Jacksonville,3,Bicyclist,1,Male,39,5,Fatal,1,Intersection (marked crosswalk),1,Crossing roadway,4,"Failure to obey traffic signs, signals, officer",2,Yes,88,Unknown,-8921710.908,3082872.062
56,2016-814497490-2,2016-814497490,814497490,81449749,6/9/2016 10:31,10:31 AM,4: 9A-12P,4: Wed,4,93,Palm Beach,93000000,0,Off-system,26.441276,-80.122159,Jacksonville,3,Bicyclist,1,Male,74,4,Serious (Incapacitating),8,Sidewalk,5,Walking/cycling on sidewalk,1,No improper action,1,No,1,No,-8919158.239,3053838.92
57,2016-814499480-2,2016-814499480,814499480,81449948,7/31/2016 14:12,2:12 PM,5: 12P-3P,7: Sat,1,16,Polk,16000000,0,Off-system,26.540294,-80.106542,Jacksonville,3,Bicyclist,1,Male,51,4,Serious (Incapacitating),6,Bicycle lane,3,Walking/cycling along roadway with traffic (in/adjacent to travel lane),1,No improper action,1,No,1,No,-8917419.763,3066154.634
58,2016-814500200-2,2016-814500200,814500200,81450020,7/29/2016 13:00,1:00 PM,5: 12P-3P,5: Thr,4,93,Palm Beach,93000000,0,Off-system,26.651447,-80.209634,Jacksonville,3,Bicyclist,1,Male,59,4,Serious (Incapacitating),4,Midblock (marked crosswalk),1,Crossing roadway,1,No improper action,1,No,1,No,-8928895.915,3079992.353
59,2016-814502780-2,2016-814502780,814502780,81450278,6/12/2016 11:43,11:43 AM,4: 9A-12P,7: Sat,4,93,Palm Beach,93000000,0,Off-system,26.607851,-80.12572,Jacksonville,2,"Other pedestrian (wheelchair, etc)",1,Male,15,4,Serious (Incapacitating),5,Travel lane (other location),77,Other,77,Other,1,No,1,No,-8919554.649,3074563.374
60,2016-814508320-2,2016-814508320,814508320,81450832,6/29/2016 22:30,10:30 PM,8: 9P-12A,3: Tue,4,93,Palm Beach,93000000,0,Off-system,26.334385,-80.218026,Jacksonville,1,Pedestrian,2,Female,23,4,Serious (Incapacitating),11,Shared-use path/trail,7,Adjacent to roadway (shoulder median),1,No improper action,1,No,1,No,-8929830.108,3040555.848
61,2016-814516530-2,2016-814516530,814516530,81451653,9/16/2016 15:08,3:08 PM,6: 3P-6P,5: Thr,4,93,Palm Beach,93000000,0,Off-system,26.55009,-80.149817,Jacksonville,3,Bicyclist,1,Male,15,4,Serious (Incapacitating),8,Sidewalk,77,Other,77,Other,1,No,1,No,-8922237.115,3067373.623
62,2016-814520340-2,2016-814520340,814520340,81452034,12/4/2016 0:00,12:00 AM,1: 12A-3A,7: Sat,4,93,Palm Beach,93180000,0.256,On-system,26.6171639,-80.2007775,Jacksonville,3,Bicyclist,1,Male,25,4,Serious (Incapacitating),1,Intersection (marked crosswalk),4,Walking/cycling along roadway against traffic (in/adjacent to travel lane),9,"Not visible (dark clothing, no lighting, etc)",1,No,1,No,-8927910.014,3075722.928
63,2016-814520470-2,2016-814520470,814520470,81452047,7/29/2016 20:41,8:41 PM,7: 6P-9P,5: Thr,4,93,Palm Beach,93070000,0,On-system,26.589319,-80.114202,Jacksonville,1,Pedestrian,1,Male,51,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,3,Failure to yield right-of-way,88,Unknown,88,Unknown,-8918272.47,3072256.224
64,2016-814521710-2,2016-814521710,814521710,81452171,7/7/2016 16:03,4:03 PM,6: 3P-6P,4: Wed,4,93,Palm Beach,93180000,4.412,On-system,26.6190353,-80.1337467,Jacksonville,3,Bicyclist,1,Male,21,4,Serious (Incapacitating),1,Intersection (marked crosswalk),1,Crossing roadway,1,No improper action,1,No,1,No,-8920448.177,3075955.949
65,2016-814524240-2,2016-814524240,814524240,81452424,9/17/2016 19:07,7:07 PM,7: 6P-9P,6: Fri,4,93,Palm Beach,93016000,3.966,On-system,26.6520488,-80.139552,Jacksonville,3,Bicyclist,1,Male,0,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,3,Failure to yield right-of-way,88,Unknown,88,Unknown,-8921094.42,3080067.309
66,2016-814525610-2,2016-814525610,814525610,81452561,7/27/2016 21:06,9:06 PM,8: 9P-12A,3: Tue,4,93,Palm Beach,93000000,0,Off-system,26.487294,-80.089989,Jacksonville,3,Bicyclist,1,Male,14,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,5,"In roadway improperly (standing, lying, working, playing)",1,No,1,No,-8915577.09,3059561.252
67,2016-814527880-2,2016-814527880,814527880,81452788,12/31/2016 19:55,7:55 PM,7: 6P-9P,6: Fri,4,93,Palm Beach,93000000,0,Off-system,26.753128,-80.070824,Jacksonville,1,Pedestrian,1,Male,37,4,Serious (Incapacitating),5,Travel lane (other location),1,Crossing roadway,5,"In roadway improperly (standing, lying, working, playing)",1,No,1,No,-8913443.652,3092662.683
68,2016-814535980-2,2016-814535980,814535980,81453598,10/3/2016 9:23,9:23 AM,4: 9A-12P,1: Sun,4,93,Palm Beach,93180000,3.614,On-system,26.6188637,-80.1466268,Jacksonville,3,Bicyclist,1,Male,78,4,Serious (Incapacitating),1,Intersection (marked crosswalk),5,Walking/cycling on sidewalk,1,No improper action,1,No,1,No,-8921881.984,3075934.582
69,2016-814537920-2,2016-814537920,814537920,81453792,7/30/2016 17:43,5:43 PM,6: 3P-6P,6: Fri,4,93,Palm Beach,93000000,0,Off-system,26.687463,-80.244707,Jacksonville,1,Pedestrian,2,Female,69,5,Fatal,2,Intersection (unmarked crosswalk),2,Waiting to cross roadway,3,Failure to yield right-of-way,1,No,1,No,-8932800.225,3084478.963
70,2016-814538080-2,2016-814538080,814538080,81453808,8/14/2016 22:31,10:31 PM,8: 9P-12A,7: Sat,4,93,Palm Beach,93200000,4.421,On-system,26.5280526,-80.1339424,Jacksonville,1,Pedestrian,1,Male,40,5,Fatal,5,Travel lane (other location),1,Crossing roadway,3,Failure to yield right-of-way,2,Yes,1,No,-8920469.962,3064631.491
71,2016-814546670-2,2016-814546670,814546670,81454667,8/20/2016 20:59,8:59 PM,7: 6P-9P,6: Fri,4,93,Palm Beach,93250500,0,On-system,26.702824,-80.086633,Jacksonville,1,Pedestrian,1,Male,27,4,Serious (Incapacitating),1,Intersection (marked crosswalk),1,Crossing roadway,2,Dart/dash,1,No,1,No,-8915203.503,3086392.957
